Date,Money_Manager_Net
2006-06-13,69880
2006-06-20,61116
2006-06-27,57215
2006-07-03,59326
2006-07-11,71884
2006-07-18,79271
2006-07-25,72907
2006-08-01,70609
2006-08-08,74318
2006-08-15,67890
2006-08-22,60305
2006-08-29,49529
2006-09-05,58222
2006-09-12,45940
2006-09-19,41593
2006-09-26,35324
2006-10-03,32453
2006-10-10,23064
2006-10-17,21829
2006-10-24,10179
2006-10-31,20892
2006-11-07,43530
2006-11-14,49754
2006-11-21,48450
2006-11-28,44595
2006-12-05,52047
2006-12-12,50086
2006-12-19,38961
2006-12-26,38119
2007-01-03,46792
2007-01-09,25996
2007-01-16,35059
2007-01-23,57938
2007-01-30,69986
2007-02-06,81462
2007-02-13,97057
2007-02-20,95802
2007-02-27,112237
2007-03-06,68881
2007-03-13,68266
2007-03-20,67101
2007-03-27,68924
2007-04-03,68819
2007-04-10,83735
2007-04-17,106640
2007-04-24,104570
2007-05-01,104135
2007-05-08,114336
2007-05-15,87411
2007-05-22,66248
2007-05-29,63717
2007-06-05,77018
2007-06-12,43374
2007-06-19,49976
2007-06-26,26494
2007-07-03,34865
2007-07-10,38799
2007-07-17,45038
2007-07-24,95715
2007-07-31,55093
2007-08-07,63541
2007-08-14,65878
2007-08-21,42992
2007-08-28,50003
2007-09-04,73766
2007-09-11,100515
2007-09-18,117078
2007-09-25,144041
2007-10-02,151940
2007-10-09,168347
2007-10-16,182278
2007-10-23,173060
2007-10-30,185896
2007-11-06,186415
2007-11-13,174937
2007-11-20,160846
2007-11-27,151855
2007-12-04,143921
2007-12-11,149356
2007-12-18,146238
2007-12-24,156135
2007-12-31,171253
2008-01-08,180769
2008-01-15,185884
2008-01-22,183421
2008-01-29,181724
2008-02-05,181687
2008-02-12,178076
2008-02-19,187734
2008-02-26,186305
2008-03-04,175727
2008-03-11,175715
2008-03-18,168565
2008-03-25,155158
2008-04-01,135351
2008-04-08,136130
2008-04-15,142779
2008-04-22,143092
2008-04-29,132367
2008-05-06,124327
2008-05-13,118591
2008-05-20,147271
2008-05-27,145672
2008-06-03,133657
2008-06-10,114884
2008-06-17,117184
2008-06-24,120264
2008-07-01,156631
2008-07-08,157103
2008-07-15,168906
2008-07-22,163002
2008-07-29,143243
2008-08-05,128826
2008-08-12,89669
2008-08-19,73917
2008-08-26,67221
2008-09-02,53691
2008-09-09,44367
2008-09-16,46192
2008-09-23,73065
2008-09-30,75124
2008-10-07,70025
2008-10-14,69787
2008-10-21,55642
2008-10-28,46166
2008-11-04,46217
2008-11-11,36872
2008-11-18,39210
2008-11-25,57739
2008-12-02,60752
2008-12-09,57835
2008-12-16,73332
2008-12-22,87803
2008-12-30,91887
2009-01-06,98490
2009-01-13,90020
2009-01-20,92322
2009-01-27,105565
2009-02-03,117284
2009-02-10,122660
2009-02-17,123167
2009-02-24,130593
2009-03-03,134892
2009-03-10,128772
2009-03-17,127980
2009-03-24,125670
2009-03-31,130485
2009-04-07,111157
2009-04-14,112024
2009-04-21,111314
2009-04-28,108282
2009-05-05,114627
2009-05-12,124161
2009-05-19,127459
2009-05-26,142898
2009-06-02,153154
2009-06-09,160637
2009-06-16,146830
2009-06-23,139212
2009-06-30,137487
2009-07-07,138763
2009-07-14,132172
2009-07-21,150335
2009-07-28,147338
2009-08-04,167686
2009-08-11,159935
2009-08-18,141486
2009-08-25,149596
2009-09-01,150038
2009-09-08,187549
2009-09-15,201860
2009-09-22,203066
2009-09-29,194449
2009-10-06,209375
2009-10-13,226854
2009-10-20,227275
2009-10-27,210371
2009-11-03,218221
2009-11-09,214965
2009-11-17,214236
2009-11-24,221777
2009-12-01,217156
2009-12-08,207811
2009-12-15,208088
2009-12-22,202183
2009-12-29,195825
2010-01-05,191599
2010-01-12,191043
2010-01-19,192625
2010-01-26,174367
2010-02-02,178601
2010-02-09,152728
2010-02-16,157154
2010-02-23,164656
2010-03-02,176671
2010-03-09,174408
2010-03-16,170277
2010-03-23,153692
2010-03-30,147220
2010-04-06,175135
2010-04-13,196695
2010-04-20,192240
2010-04-27,205443
2010-05-04,207788
2010-05-11,217530
2010-05-18,219795
2010-05-25,205216
2010-06-01,206258
2010-06-08,210016
2010-06-15,211490
2010-06-22,218865
2010-06-29,214462
2010-07-06,181733
2010-07-13,180754
2010-07-20,148371
2010-07-27,152892
2010-08-03,156365
2010-08-10,158593
2010-08-17,177219
2010-08-24,196084
2010-08-31,209200
2010-09-07,211027
2010-09-14,218250
2010-09-21,213799
2010-09-28,224408
2010-10-05,218716
2010-10-12,223959
2010-10-19,208747
2010-10-26,198037
2010-11-02,195594
2010-11-09,188674
2010-11-16,166602
2010-11-23,170006
2010-11-30,175374
2010-12-07,179757
2010-12-14,168625
2010-12-21,157650
2010-12-28,167914
2011-01-04,156135
2011-01-11,139556
2011-01-18,133240
2011-01-25,138217
2011-02-01,123733
2011-02-08,141509
2011-02-15,154234
2011-02-22,168449
2011-03-01,188816
2011-03-08,188620
2011-03-15,176238
2011-03-22,178875
2011-03-29,191417
2011-04-05,206694
2011-04-12,201904
2011-04-19,211737
2011-04-26,202417
2011-05-03,192878
2011-05-10,180974
2011-05-17,173788
2011-05-24,176892
2011-05-31,187315
2011-06-07,195870
2011-06-14,187786
2011-06-21,206259
2011-06-28,169571
2011-07-05,165423
2011-07-12,199105
2011-07-19,210289
2011-07-26,213501
2011-08-02,228824
2011-08-09,191410
2011-08-16,199875
2011-08-23,192322
2011-08-30,183072
2011-09-06,188195
2011-09-13,176269
2011-09-20,151425
2011-09-27,122475
2011-10-04,120689
2011-10-11,122021
2011-10-18,117899
2011-10-25,126570
2011-11-01,133011
2011-11-08,146055
2011-11-15,150910
2011-11-22,137682
2011-11-29,133794
2011-12-06,137692
2011-12-13,127137
2011-12-20,111470
2011-12-27,106043
2012-01-03,104562
2012-01-10,103980
2012-01-17,108655
2012-01-24,117156
2012-01-31,143948
2012-02-07,155609
2012-02-14,148989
2012-02-21,160294
2012-02-28,177143
2012-03-06,141841
2012-03-13,133618
2012-03-20,113098
2012-03-27,124083
2012-04-03,113040
2012-04-10,104230
2012-04-17,107576
2012-04-24,103350
2012-05-01,110056
2012-05-08,90372
2012-05-15,80098
2012-05-22,74645
2012-05-29,72526
2012-06-05,88590
2012-06-12,87873
2012-06-19,93151
2012-06-26,77495
2012-07-03,96219
2012-07-10,80287
2012-07-17,81356
2012-07-24,59809
2012-07-31,80857
2012-08-07,69710
2012-08-14,66656
2012-08-21,91585
2012-08-28,113166
2012-09-04,122927
2012-09-11,137613
2012-09-18,144302
2012-09-25,158228
2012-10-02,162990
2012-10-09,167473
2012-10-16,158584
2012-10-23,146636
2012-10-30,135428
2012-11-06,115169
2012-11-13,124930
2012-11-20,135939
2012-11-27,152307
2012-12-04,118745
2012-12-11,119655
2012-12-18,108031
2012-12-24,98894
2012-12-31,97119
2013-01-08,87349
2013-01-15,91104
2013-01-22,97897
2013-01-29,76501
2013-02-05,78548
2013-02-12,66582
2013-02-19,42810
2013-02-26,50853
2013-03-05,41170
2013-03-12,44324
2013-03-19,64779
2013-03-26,55935
2013-04-02,44196
2013-04-09,49987
2013-04-16,68662
2013-04-23,52919
2013-04-30,51591
2013-05-07,48533
2013-05-14,39384
2013-05-21,36358
2013-05-28,47037
2013-06-04,53588
2013-06-11,55318
2013-06-18,39253
2013-06-25,30289
2013-07-02,21384
2013-07-09,23882
2013-07-16,41841
2013-07-23,55354
2013-07-30,52029
2013-08-06,34744
2013-08-13,37988
2013-08-20,48416
2013-08-27,70389
2013-09-03,75400
2013-09-10,64780
2013-09-17,54780
2013-09-24,64012
2013-10-01,61383
2013-10-08,71556
2013-10-15,52790
2013-10-22,66598
2013-10-29,88403
2013-11-05,78084
2013-11-12,46107
2013-11-19,34531
2013-11-26,15961
2013-12-03,9941
2013-12-10,15803
2013-12-17,13762
2013-12-24,11193
2013-12-31,17725
2014-01-07,24238
2014-01-14,28270
2014-01-21,30217
2014-01-28,47238
2014-02-04,43652
2014-02-11,52086
2014-02-18,68770
2014-02-25,96256
2014-03-04,101167
2014-03-11,106031
2014-03-18,121063
2014-03-25,107013
2014-04-01,91453
2014-04-08,81527
2014-04-15,72990
2014-04-22,77106
2014-04-29,77407
2014-05-06,90639
2014-05-13,82454
2014-05-20,81153
2014-05-27,57569
2014-06-03,38182
2014-06-10,38054
2014-06-17,53559
