Date,Open,High,Low,Close
1999-01-04,133.11,135.45,131.92,132.26
1999-01-05,132.3,133.37,130.26,131.01
1999-01-06,131.09,132.67,130.57,131.13
1999-01-07,131.22,132.16,128.32,130.08
1999-01-08,129.97,131.04,128.32,128.4
1999-01-11,128.37,128.62,124.57,124.83
1999-01-12,125.0,130.08,124.84,129.98
1999-01-13,130.07,133.63,129.16,131.95
1999-01-14,132.14,133.64,131.22,132.99
1999-01-15,132.89,133.01,130.94,131.7
1999-01-18,132.28,133.35,131.32,132.7
1999-01-19,132.64,133.04,131.57,131.6
1999-01-20,131.78,132.03,130.19,130.42
1999-01-21,130.58,132.67,129.9,131.72
1999-01-22,131.93,133.01,131.64,132.54
1999-01-25,132.48,133.0,131.25,131.55
1999-01-26,131.64,132.11,131.14,131.45
1999-01-27,131.6,133.02,130.8,132.28
1999-01-28,132.33,133.27,131.77,132.87
1999-01-29,132.91,133.01,131.51,132.04
1999-02-01,132.11,132.18,129.63,130.05
1999-02-02,130.01,130.42,126.71,127.25
1999-02-03,127.21,128.08,126.73,127.59
1999-02-04,127.86,128.99,126.19,127.01
1999-02-05,127.04,128.26,126.6,127.46
1999-02-08,127.47,130.05,126.99,129.67
1999-02-09,129.72,130.23,128.81,128.99
1999-02-10,129.0,131.01,128.73,129.63
1999-02-11,129.63,129.79,128.45,128.56
1999-02-12,128.68,129.96,127.99,128.91
1999-02-15,128.77,130.19,128.31,129.59
1999-02-16,129.7,133.2,129.66,132.89
1999-02-17,132.98,133.98,132.26,133.45
1999-02-18,133.7,134.87,133.19,134.02
1999-02-19,134.17,135.09,133.47,134.03
1999-02-22,133.6,135.07,132.52,133.41
1999-02-23,133.5,133.8,132.42,132.93
1999-02-24,133.02,134.07,132.69,133.76
1999-02-25,133.82,134.01,131.75,132.17
1999-02-26,132.14,133.17,130.14,131.12
1999-03-01,131.1,131.63,130.1,130.46
1999-03-02,131.07,131.97,130.34,131.27
1999-03-03,131.42,132.74,131.26,132.54
1999-03-04,132.55,134.19,132.36,133.2
1999-03-05,133.38,133.6,132.47,132.95
1999-03-08,132.85,133.27,131.66,132.33
1999-03-09,132.41,132.87,131.63,131.73
1999-03-10,131.76,132.26,131.01,131.02
1999-03-11,131.08,132.02,129.72,131.42
1999-03-12,131.56,132.73,129.37,129.47
1999-03-15,129.52,130.26,128.47,128.73
1999-03-16,128.72,129.6,127.23,129.28
1999-03-17,129.37,130.82,128.91,129.88
1999-03-18,130.07,131.11,128.68,128.87
1999-03-19,128.95,129.3,127.52,127.57
1999-03-22,127.68,129.11,127.48,128.83
1999-03-23,128.99,129.55,128.29,128.77
1999-03-24,128.79,129.06,128.01,128.32
1999-03-25,128.4,128.88,127.87,128.0
