Date,Money_Manager_Long,Money_Manager_Short,Money_Manager_Net
2006-06-13,99739.0,29859.0,69880.0
2006-06-14,99739.0,29859.0,69880.0
2006-06-15,99739.0,29859.0,69880.0
2006-06-16,99739.0,29859.0,69880.0
2006-06-19,99739.0,29859.0,69880.0
2006-06-20,91198.0,30082.0,61116.0
2006-06-21,91198.0,30082.0,61116.0
2006-06-22,91198.0,30082.0,61116.0
2006-06-23,91198.0,30082.0,61116.0
2006-06-26,91198.0,30082.0,61116.0
2006-06-27,88635.0,31420.0,57215.0
2006-06-28,88635.0,31420.0,57215.0
2006-06-29,88635.0,31420.0,57215.0
2006-06-30,88635.0,31420.0,57215.0
2006-07-03,90104.0,30778.0,59326.0
2006-07-04,90104.0,30778.0,59326.0
2006-07-05,90104.0,30778.0,59326.0
2006-07-06,90104.0,30778.0,59326.0
2006-07-07,90104.0,30778.0,59326.0
2006-07-10,90104.0,30778.0,59326.0
2006-07-11,101019.0,29135.0,71884.0
2006-07-12,101019.0,29135.0,71884.0
2006-07-13,101019.0,29135.0,71884.0
2006-07-14,101019.0,29135.0,71884.0
2006-07-17,101019.0,29135.0,71884.0
2006-07-18,105068.0,25797.0,79271.0
2006-07-19,105068.0,25797.0,79271.0
2006-07-20,105068.0,25797.0,79271.0
2006-07-21,105068.0,25797.0,79271.0
2006-07-24,105068.0,25797.0,79271.0
2006-07-25,96891.0,23984.0,72907.0
2006-07-26,96891.0,23984.0,72907.0
2006-07-27,96891.0,23984.0,72907.0
2006-07-28,96891.0,23984.0,72907.0
2006-07-31,96891.0,23984.0,72907.0
2006-08-01,95785.0,25176.0,70609.0
2006-08-02,95785.0,25176.0,70609.0
2006-08-03,95785.0,25176.0,70609.0
2006-08-04,95785.0,25176.0,70609.0
2006-08-07,95785.0,25176.0,70609.0
2006-08-08,100994.0,26676.0,74318.0
2006-08-09,100994.0,26676.0,74318.0
2006-08-10,100994.0,26676.0,74318.0
2006-08-11,100994.0,26676.0,74318.0
2006-08-14,100994.0,26676.0,74318.0
2006-08-15,94115.0,26225.0,67890.0
2006-08-16,94115.0,26225.0,67890.0
2006-08-17,94115.0,26225.0,67890.0
2006-08-18,94115.0,26225.0,67890.0
2006-08-21,94115.0,26225.0,67890.0
2006-08-22,87386.0,27081.0,60305.0
2006-08-23,87386.0,27081.0,60305.0
2006-08-24,87386.0,27081.0,60305.0
2006-08-25,87386.0,27081.0,60305.0
2006-08-28,87386.0,27081.0,60305.0
2006-08-29,80809.0,31280.0,49529.0
2006-08-30,80809.0,31280.0,49529.0
2006-08-31,80809.0,31280.0,49529.0
2006-09-01,80809.0,31280.0,49529.0
2006-09-04,80809.0,31280.0,49529.0
2006-09-05,87652.0,29430.0,58222.0
2006-09-06,87652.0,29430.0,58222.0
2006-09-07,87652.0,29430.0,58222.0
2006-09-08,87652.0,29430.0,58222.0
2006-09-11,87652.0,29430.0,58222.0
2006-09-12,76571.0,30631.0,45940.0
2006-09-13,76571.0,30631.0,45940.0
2006-09-14,76571.0,30631.0,45940.0
2006-09-15,76571.0,30631.0,45940.0
2006-09-18,76571.0,30631.0,45940.0
