Date,Open,High,Low,Close
1982-07-02,80364,80364,80364,80364
1982-07-06,80145,80145,80145,80145
1982-07-07,79435,79435,79435,79435
1982-07-08,80836,80836,80836,80836
1982-07-09,84030,84030,84030,84030
1982-07-12,87208,87208,87208,87208
1982-07-13,90769,90769,90769,90769
1982-07-14,90415,90415,90415,90415
1982-07-15,89634,89634,89634,89634
1982-07-16,88155,88155,88155,88155
1982-07-19,88491,88491,88491,88491
1982-07-20,88229,88229,88229,88229
1982-07-21,92376,92376,92376,92376
1982-07-22,88903,88903,88903,88903
1982-07-23,90509,90509,90509,90509
1982-07-26,88385,88385,88385,88385
1982-07-27,88608,88608,88608,88608
1982-07-28,88416,88416,88416,88416
1982-07-29,87886,87886,87886,87886
1982-07-30,88502,88502,88502,88502
1982-08-02,90144,90144,90144,90144
1982-08-03,90041,90041,90041,90041
1982-08-04,90133,90133,90133,90133
1982-08-05,90038,90038,90038,90038
1982-08-06,89656,89656,89656,89656
1982-08-09,88133,88133,88133,88133
1982-08-10,89251,89251,89251,89251
1982-08-11,87844,87844,87844,87844
1982-08-12,88093,88093,88093,88093
1982-08-13,88590,88590,88590,88590
1982-08-16,90226,90226,90226,90226
1982-08-17,89170,89170,89170,89170
1982-08-18,92716,92716,92716,92716
1982-08-19,92128,92128,92128,92128
1982-08-20,98461,98461,98461,98461
1982-08-23,100440,100440,100440,100440
1982-08-24,102537,102537,102537,102537
1982-08-25,100651,100651,100651,100651
1982-08-26,105584,105584,105584,105584
1982-08-27,107259,107259,107259,107259
1982-08-30,104954,104954,104954,104954
1982-08-31,107443,107443,107443,107443
1982-09-01,104987,104987,104987,104987
1982-09-02,104965,104965,104965,104965
1982-09-03,117299,117299,117299,117299
1982-09-07,123833,123833,123833,123833
1982-09-08,118851,118851,118851,118851
1982-09-09,120531,120531,120531,120531
1982-09-10,118980,118980,118980,118980
1982-09-13,115896,115896,115896,115896
1982-09-14,119568,119568,119568,119568
1982-09-15,116739,116739,116739,116739
1982-09-16,118135,118135,118135,118135
1982-09-17,116203,116203,116203,116203
1982-09-20,112201,112201,112201,112201
1982-09-21,113065,113065,113065,113065
1982-09-22,116538,116538,116538,116538
1982-09-23,115465,115465,115465,115465
1982-09-24,114754,114754,114754,114754
1982-09-27,111616,111616,111616,111616
1982-09-28,110835,110835,110835,110835
1982-09-29,110148,110148,110148,110148
1982-09-30,106515,106515,106515,106515
1982-10-01,108098,108098,108098,108098
1982-10-04,105981,105981,105981,105981
1982-10-05,106837,106837,106837,106837
1982-10-06,110676,110676,110676,110676
1982-10-07,113037,113037,113037,113037
1982-10-08,115914,115914,115914,115914
1982-10-12,115859,115859,115859,115859
1982-10-13,114313,114313,114313,114313
1982-10-14,120288,120288,120288,120288
1982-10-15,116645,116645,116645,116645
1982-10-18,114993,114993,114993,114993
1982-10-19,118454,118454,118454,118454
1982-10-20,114109,114109,114109,114109
1982-10-21,118073,118073,118073,118073
1982-10-22,117037,117037,117037,117037
1982-10-25,115764,115764,115764,115764
1982-10-26,115720,115720,115720,115720
1982-10-27,115306,115306,115306,115306
1982-10-28,116030,116030,116030,116030
1982-11-03,118212,118212,118212,118212
1982-11-04,117918,117918,117918,117918
1982-11-05,115147,115147,115147,115147
1982-11-08,112387,112387,112387,112387
1982-11-09,110955,110955,110955,110955
1982-11-10,110189,110189,110189,110189
1982-11-12,106863,106863,106863,106863
1982-11-15,107796,107796,107796,107796
1982-11-16,107458,107458,107458,107458
1982-11-17,108611,108611,108611,108611
1982-11-18,107313,107313,107313,107313
1982-11-19,107678,107678,107678,107678
1982-11-22,104534,104534,104534,104534
1982-11-23,104362,104362,104362,104362
1982-11-24,102586,102586,102586,102586
1982-11-26,101581,101581,101581,101581
1982-11-29,108652,108652,108652,108652
1982-11-30,108651,108651,108651,108651
1982-12-01,109434,109434,109434,109434
1982-12-02,110702,110702,110702,110702
1982-12-03,108800,108800,108800,108800
1982-12-06,109119,109119,109119,109119
1982-12-07,110330,110330,110330,110330
1982-12-08,107757,107757,107757,107757
1982-12-09,107494,107494,107494,107494
1982-12-10,106420,106420,106420,106420
1982-12-13,108491,108491,108491,108491
1982-12-14,109788,109788,109788,109788
1982-12-15,107166,107166,107166,107166
1982-12-16,107101,107101,107101,107101
1982-12-17,106694,106694,106694,106694
1982-12-20,107607,107607,107607,107607
1982-12-21,107057,107057,107057,107057
1982-12-22,107552,107552,107552,107552
1982-12-23,106121,106121,106121,106121
1982-12-27,108538,108538,108538,108538
1982-12-28,106883,106883,106883,106883
1982-12-29,107204,107204,107204,107204
1982-12-30,107143,107143,107143,107143
1983-01-03,104864,104864,104864,104864
1983-01-04,103295,103295,103295,103295
1983-01-05,104011,104011,104011,104011
1983-01-06,104444,104444,104444,104444
1983-01-07,106532,106532,106532,106532
1983-01-10,107480,107480,107480,107480
1983-01-11,110854,110854,110854,110854
1983-01-12,110779,110779,110779,110779
1983-01-13,111847,111847,111847,111847
1983-01-14,111378,111378,111378,111378
1983-01-17,114456,114456,114456,114456
1983-01-18,112593,112593,112593,112593
1983-01-19,116418,116418,116418,116418
1983-01-20,114638,114638,114638,114638
1983-01-21,114630,114630,114630,114630
1983-01-24,114335,114335,114335,114335
1983-01-25,115260,115260,115260,115260
1983-01-26,114498,114498,114498,114498
1983-01-27,117100,117100,117100,117100
1983-01-28,116711,116711,116711,116711
1983-01-31,119805,119805,119805,119805
1983-02-01,121735,121735,121735,121735
1983-02-02,120664,120664,120664,120664
1983-02-03,120261,120261,120261,120261
1983-02-04,119790,119790,119790,119790
1983-02-07,116398,116398,116398,116398
1983-02-08,118060,118060,118060,118060
1983-02-09,116052,116052,116052,116052
1983-02-10,116610,116610,116610,116610
1983-02-11,118406,118406,118406,118406
1983-02-14,117517,117517,117517,117517
1983-02-15,119204,119204,119204,119204
1983-02-16,118277,118277,118277,118277
1983-02-17,117696,117696,117696,117696
1983-02-18,117618,117618,117618,117618
1983-02-22,113510,113510,113510,113510
1983-02-23,110521,110521,110521,110521
1983-02-24,111245,111245,111245,111245
1983-02-25,109228,109228,109228,109228
1983-02-28,97162,97162,97162,97162
1983-03-01,98946,98946,98946,98946
1983-03-02,102039,102039,102039,102039
1983-03-03,101534,101534,101534,101534
1983-03-04,97268,97268,97268,97268
1983-03-07,99159,99159,99159,99159
1983-03-08,99657,99657,99657,99657
1983-03-09,101260,101260,101260,101260
1983-03-10,103046,103046,103046,103046
1983-03-11,100268,100268,100268,100268
1983-03-14,101769,101769,101769,101769
1983-03-15,103085,103085,103085,103085
1983-03-16,99408,99408,99408,99408
1983-03-17,99585,99585,99585,99585
1983-03-18,101335,101335,101335,101335
1983-03-21,99832,99832,99832,99832
1983-03-22,100835,100835,100835,100835
1983-03-23,97908,97908,97908,97908
1983-03-24,98577,98577,98577,98577
1983-03-25,97614,97614,97614,97614
1983-03-28,98129,98129,98129,98129
1983-03-29,99069,99069,99069,99069
1983-03-30,100236,100236,100236,100236
1983-03-31,99113,99113,99113,99113
1983-04-04,99663,99663,99663,99663
1983-04-05,101405,101405,101405,101405
1983-04-06,101576,101576,101576,101576
1983-04-07,101274,101274,101274,101274
1983-04-08,100793,100793,100793,100793
1983-04-11,101533,101533,101533,101533
1983-04-12,103004,103004,103004,103004
1983-04-13,102364,102364,102364,102364
1983-04-14,103758,103758,103758,103758
1983-04-15,103712,103712,103712,103712
1983-04-18,105345,105345,105345,105345
1983-04-19,104183,104183,104183,104183
1983-04-20,102952,102952,102952,102952
1983-04-21,103898,103898,103898,103898
1983-04-22,103503,103503,103503,103503
1983-04-25,104304,104304,104304,104304
1983-04-26,103366,103366,103366,103366
1983-04-27,102580,102580,102580,102580
1983-04-28,102069,102069,102069,102069
1983-04-29,102278,102278,102278,102278
1983-05-02,101812,101812,101812,101812
1983-05-03,103021,103021,103021,103021
1983-05-04,102225,102225,102225,102225
1983-05-05,102006,102006,102006,102006
1983-05-06,101203,101203,101203,101203
1983-05-09,100970,100970,100970,100970
1983-05-10,103160,103160,103160,103160
1983-05-11,102289,102289,102289,102289
1983-05-12,101791,101791,101791,101791
1983-05-13,102050,102050,102050,102050
1983-05-16,101765,101765,101765,101765
1983-05-17,102859,102859,102859,102859
1983-05-18,103038,103038,103038,103038
1983-05-19,103745,103745,103745,103745
1983-05-20,102700,102700,102700,102700
1983-05-23,101858,101858,101858,101858
1983-05-24,103347,103347,103347,103347
1983-05-25,104374,104374,104374,104374
1983-05-26,104082,104082,104082,104082
1983-05-27,104040,104040,104040,104040
1983-05-31,104497,104497,104497,104497
1983-06-01,98339,98339,98339,98339
1983-06-02,98319,98319,98319,98319
1983-06-03,98349,98349,98349,98349
1983-06-06,98052,98052,98052,98052
1983-06-07,96188,96188,96188,96188
1983-06-08,97276,97276,97276,97276
1983-06-09,98949,98949,98949,98949
1983-06-10,99584,99584,99584,99584
1983-06-13,100173,100173,100173,100173
1983-06-14,99140,99140,99140,99140
1983-06-15,98968,98968,98968,98968
1983-06-16,99227,99227,99227,99227
1983-06-17,99678,99678,99678,99678
1983-06-20,99456,99456,99456,99456
1983-06-21,99362,99362,99362,99362
1983-06-22,99827,99827,99827,99827
1983-06-23,99869,99869,99869,99869
1983-06-24,100497,100497,100497,100497
1983-06-27,100428,100428,100428,100428
1983-06-28,99341,99341,99341,99341
1983-06-29,99282,99282,99282,99282
1983-06-30,99540,99540,99540,99540
1983-07-01,99534,99534,99534,99534
1983-07-05,98855,98855,98855,98855
1983-07-06,98578,98578,98578,98578
1983-07-07,99278,99278,99278,99278
1983-07-08,102815,102815,102815,102815
1983-07-11,104030,104030,104030,104030
1983-07-12,103239,103239,103239,103239
1983-07-13,102443,102443,102443,102443
1983-07-14,102331,102331,102331,102331
1983-07-15,101856,101856,101856,101856
1983-07-18,101714,101714,101714,101714
1983-07-19,102027,102027,102027,102027
1983-07-20,102468,102468,102468,102468
1983-07-21,102956,102956,102956,102956
1983-07-22,101746,101746,101746,101746
1983-07-25,101512,101512,101512,101512
1983-07-26,102375,102375,102375,102375
1983-07-27,102659,102659,102659,102659
1983-07-28,102460,102460,102460,102460
1983-07-29,102019,102019,102019,102019
1983-08-01,100209,100209,100209,100209
1983-08-02,100713,100713,100713,100713
1983-08-03,99976,99976,99976,99976
1983-08-04,100850,100850,100850,100850
1983-08-05,99926,99926,99926,99926
1983-08-08,99776,99776,99776,99776
1983-08-09,100764,100764,100764,100764
1983-08-10,100336,100336,100336,100336
1983-08-11,101422,101422,101422,101422
1983-08-12,101883,101883,101883,101883
1983-08-15,102710,102710,102710,102710
1983-08-16,102245,102245,102245,102245
1983-08-17,102921,102921,102921,102921
1983-08-18,102416,102416,102416,102416
1983-08-19,101919,101919,101919,101919
1983-08-22,102515,102515,102515,102515
1983-08-23,103722,103722,103722,103722
1983-08-24,102990,102990,102990,102990
1983-08-25,102922,102922,102922,102922
1983-08-26,102436,102436,102436,102436
1983-08-29,102521,102521,102521,102521
1983-08-30,102957,102957,102957,102957
1983-08-31,102080,102080,102080,102080
1983-09-01,102692,102692,102692,102692
1983-09-02,103039,103039,103039,103039
1983-09-06,102814,102814,102814,102814
1983-09-07,101523,101523,101523,101523
1983-09-08,101264,101264,101264,101264
1983-09-09,101415,101415,101415,101415
1983-09-12,101190,101190,101190,101190
1983-09-13,99316,99316,99316,99316
1983-09-14,98537,98537,98537,98537
1983-09-15,99132,99132,99132,99132
1983-09-19,99629,99629,99629,99629
1983-09-20,99983,99983,99983,99983
1983-09-21,99613,99613,99613,99613
1983-09-22,98990,98990,98990,98990
1983-09-23,98955,98955,98955,98955
1983-09-26,98791,98791,98791,98791
1983-09-27,98062,98062,98062,98062
1983-09-28,97982,97982,97982,97982
1983-09-29,96780,96780,96780,96780
1983-09-30,95438,95438,95438,95438
1983-10-03,91084,91084,91084,91084
1983-10-04,92118,92118,92118,92118
1983-10-05,90715,90715,90715,90715
1983-10-06,91566,91566,91566,91566
1983-10-07,91740,91740,91740,91740
1983-10-11,92588,92588,92588,92588
1983-10-12,92470,92470,92470,92470
1983-10-13,92934,92934,92934,92934
1983-10-14,92817,92817,92817,92817
1983-10-17,92015,92015,92015,92015
1983-10-18,92270,92270,92270,92270
1983-10-19,91664,91664,91664,91664
1983-10-20,90605,90605,90605,90605
1983-10-21,91604,91604,91604,91604
1983-10-24,92116,92116,92116,92116
1983-10-25,92515,92515,92515,92515
1983-10-26,91456,91456,91456,91456
1983-10-27,89435,89435,89435,89435
1983-10-28,90218,90218,90218,90218
1983-10-31,89407,89407,89407,89407
1983-11-01,88673,88673,88673,88673
1983-11-02,89794,89794,89794,89794
1983-11-03,88514,88514,88514,88514
1983-11-04,90164,90164,90164,90164
1983-11-07,89823,89823,89823,89823
1983-11-09,90158,90158,90158,90158
1983-11-10,89513,89513,89513,89513
1983-11-14,89777,89777,89777,89777
1983-11-15,89841,89841,89841,89841
1983-11-16,90205,90205,90205,90205
1983-11-17,88759,88759,88759,88759
1983-11-18,88510,88510,88510,88510
1983-11-21,88012,88012,88012,88012
1983-11-22,88289,88289,88289,88289
1983-11-23,88308,88308,88308,88308
1983-11-25,88327,88327,88327,88327
1983-11-28,92578,92578,92578,92578
1983-11-29,91846,91846,91846,91846
1983-11-30,94163,94163,94163,94163
1983-12-01,92826,92826,92826,92826
1983-12-02,93523,93523,93523,93523
1983-12-05,93421,93421,93421,93421
1983-12-06,92977,92977,92977,92977
1983-12-07,93550,93550,93550,93550
1983-12-08,93846,93846,93846,93846
