date,net_tonnes,gross_purchase,gross_sale,n_buyers,n_sellers,rolling_12m
2002-01-01,-50.633,4.047,-54.68,16,9,-50.63
2002-02-01,-35.231,1.143,-36.374,11,16,-85.86
2002-03-01,-48.251,15.989,-64.24,12,14,-134.12
2002-04-01,-94.818,4.563,-99.381,10,15,-228.93
2002-05-01,-92.945,6.906,-99.851,19,15,-321.88
2002-06-01,-33.654,5.102,-38.756,15,18,-355.53
2002-07-01,-31.737,6.198,-37.936,18,14,-387.27
2002-08-01,-25.825,5.379,-31.204,11,11,-413.09
2002-09-01,-19.345,6.056,-25.401,15,13,-432.44
2002-10-01,-26.092,13.385,-39.477,14,14,-458.53
2002-11-01,-33.496,2.527,-36.022,10,12,-492.03
2002-12-01,29.358,116.363,-87.004,13,17,-462.67
2003-01-01,-70.255,1.883,-72.138,12,17,-482.29
2003-02-01,-98.498,7.937,-106.435,11,14,-545.56
2003-03-01,-1.631,21.434,-23.066,13,7,-498.94
2003-04-01,-106.401,12.78,-119.18,14,8,-510.52
2003-05-01,-24.375,12.004,-36.379,13,11,-441.95
2003-06-01,-52.944,27.422,-80.366,10,13,-461.24
2003-07-01,-36.401,12.729,-49.13,15,7,-465.9
2003-08-01,-74.534,1.048,-75.583,5,15,-514.61
2003-09-01,-69.962,0.889,-70.851,8,13,-565.23
2003-10-01,-15.264,29.153,-44.417,15,8,-554.4
2003-11-01,-101.753,1.605,-103.358,7,14,-622.66
2003-12-01,-72.108,7.322,-79.43,11,11,-724.13
2004-01-01,-39.777,18.325,-58.102,9,14,-693.65
2004-02-01,-21.411,11.872,-33.282,8,11,-616.56
2004-03-01,-43.786,2.106,-45.892,12,11,-658.72
2004-04-01,-16.794,7.218,-24.012,12,9,-569.11
2004-05-01,-65.303,26.378,-91.681,14,8,-610.04
2004-06-01,5.91,36.109,-30.199,11,12,-551.18
2004-07-01,-36.774,21.892,-58.666,12,12,-551.56
2004-08-01,-40.034,5.43,-45.464,10,12,-517.06
2004-09-01,-6.922,19.558,-26.48,6,11,-454.02
2004-10-01,-67.606,0.834,-68.44,7,11,-506.36
2004-11-01,-80.991,4.963,-85.954,11,12,-485.6
2004-12-01,-107.077,2.485,-109.562,13,14,-520.56
2005-01-01,-73.805,3.49,-77.295,9,15,-554.59
2005-02-01,-101.013,3.712,-104.725,7,15,-634.2
2005-03-01,-96.707,2.104,-98.811,9,13,-687.12
2005-04-01,-76.422,2.714,-79.136,10,10,-746.74
2005-05-01,-54.203,2.567,-56.769,12,11,-735.64
2005-06-01,-143.434,8.03,-151.464,6,15,-884.99
2005-07-01,-65.535,10.9,-76.434,9,13,-913.75
2005-08-01,-51.391,2.599,-53.99,6,10,-925.11
2005-09-01,-14.758,13.638,-28.396,10,13,-932.94
2005-10-01,-124.182,0.947,-125.129,5,15,-989.52
2005-11-01,-88.683,0.789,-89.471,7,14,-997.21
2005-12-01,-83.447,5.42,-88.868,8,15,-973.58
2006-01-01,-26.523,2.728,-29.251,7,13,-926.3
2006-02-01,-45.344,3.156,-48.501,3,14,-870.63
2006-03-01,-67.038,9.076,-76.114,7,9,-840.96
2006-04-01,-41.792,2.693,-44.485,5,15,-806.33
2006-05-01,-85.439,4.986,-90.424,4,13,-837.57
2006-06-01,-11.545,9.924,-21.468,9,10,-705.68
2006-07-01,-53.344,2.072,-55.416,8,12,-693.49
2006-08-01,-27.89,6.002,-33.892,8,13,-669.98
2006-09-01,-114.367,4.852,-119.218,7,18,-769.59
2006-10-01,-26.455,7.245,-33.699,4,11,-671.87
2006-11-01,-73.636,9.636,-83.272,10,12,-656.82
2006-12-01,-28.949,17.993,-46.942,10,10,-602.32
2007-01-01,-19.308,5.003,-24.311,7,9,-595.11
2007-02-01,-33.878,1.422,-35.299,8,11,-583.64
2007-03-01,-87.688,9.207,-96.896,5,11,-604.29
2007-04-01,-96.83,2.521,-99.351,8,9,-659.33
2007-05-01,-70.416,7.662,-78.079,11,12,-644.31
2007-06-01,-69.316,6.542,-75.858,12,10,-702.08
2007-07-01,-114.974,2.259,-117.233,10,14,-763.71
2007-08-01,-39.677,18.564,-58.242,11,10,-775.49
2007-09-01,-64.37,10.721,-75.092,7,15,-725.5
2007-10-01,-71.028,14.966,-85.994,13,13,-770.07
2007-11-01,-22.409,18.944,-41.352,15,11,-718.84
2007-12-01,-61.616,7.136,-68.752,13,9,-751.51
2008-01-01,-29.964,4.463,-34.427,13,14,-762.17
2008-02-01,148.123,185.39,-37.266,14,9,-580.16
2008-03-01,-2.253,24.324,-26.577,14,11,-494.73
2008-04-01,-37.622,3.83,-41.452,10,7,-435.52
2008-05-01,-17.892,5.444,-23.336,12,7,-383.0
2008-06-01,-35.968,3.656,-39.624,8,13,-349.65
2008-07-01,-47.88,16.381,-64.26,11,11,-282.56
2008-08-01,-7.961,17.76,-25.722,12,7,-250.84
2008-09-01,-22.658,11.052,-33.71,9,12,-209.13
2008-10-01,-9.816,29.979,-39.795,15,8,-147.92
2008-11-01,-16.505,9.704,-26.209,10,11,-142.01
2008-12-01,-21.216,13.636,-34.852,13,12,-101.61
2009-01-01,27.677,43.33,-15.653,12,13,-43.97
2009-02-01,-53.719,1.971,-55.69,9,8,-245.81
2009-03-01,-15.631,8.647,-24.278,11,8,-259.19
2009-04-01,423.778,464.436,-40.658,15,7,202.21
2009-05-01,-1.994,5.959,-7.953,11,8,218.11
2009-06-01,-1.299,14.536,-15.835,9,7,252.78
2009-07-01,18.566,21.257,-2.691,9,5,319.22
2009-08-01,7.229,12.236,-5.007,9,4,334.41
2009-09-01,-6.21,19.168,-25.378,8,8,350.86
2009-10-01,22.699,23.559,-0.86,9,7,383.38
2009-11-01,209.8,220.308,-10.508,13,7,609.68
2009-12-01,45.023,47.684,-2.662,10,6,675.92
2010-01-01,3.155,4.697,-1.542,7,9,651.4
2010-02-01,7.529,7.912,-0.382,8,6,712.65
2010-03-01,30.247,31.008,-0.76,8,7,758.52
2010-04-01,1.84,5.861,-4.021,4,5,336.58
2010-05-01,21.105,27.085,-5.98,8,6,359.68
2010-06-01,5.405,9.466,-4.061,7,6,366.39
2010-07-01,38.528,47.258,-8.73,8,5,386.35
2010-08-01,-0.682,9.684,-10.366,6,7,378.44
2010-09-01,28.144,31.158,-3.014,7,8,412.79
2010-10-01,5.076,27.204,-22.128,9,4,395.17
2010-11-01,12.439,17.041,-4.602,7,8,197.81
2010-12-01,6.285,12.734,-6.449,6,12,159.07
2011-01-01,9.389,12.722,-3.333,9,8,165.3
2011-02-01,6.382,18.06,-11.678,5,5,164.16
2011-03-01,106.857,109.82,-2.962,10,5,240.77
2011-04-01,21.777,23.361,-1.584,8,4,260.7
2011-05-01,10.4,10.589,-0.188,13,3,250.0
2011-06-01,34.059,34.174,-0.114,12,2,278.65
2011-07-01,8.681,32.993,-24.312,9,8,248.81
2011-08-01,5.903,29.133,-23.23,9,7,255.39
2011-09-01,55.765,55.893,-0.128,13,2,283.01
2011-10-01,24.603,48.771,-24.168,15,7,302.54
2011-11-01,59.716,59.959,-0.243,14,2,349.82
2011-12-01,33.564,57.144,-23.581,14,7,377.1
2012-01-01,13.124,17.582,-4.459,10,8,380.83
2012-02-01,0.374,8.189,-7.814,11,8,374.82
2012-03-01,86.676,86.829,-0.154,18,3,354.64
2012-04-01,36.676,36.713,-0.038,13,3,369.54
2012-05-01,28.198,28.259,-0.061,15,2,387.34
2012-06-01,10.666,13.012,-2.346,15,6,363.95
2012-07-01,88.582,88.885,-0.303,14,2,443.85
2012-08-01,29.0,36.229,-7.23,15,5,466.94
2012-09-01,8.141,14.913,-6.771,9,10,419.32
2012-10-01,37.661,46.208,-8.547,15,4,432.38
2012-11-01,42.244,45.308,-3.064,14,4,414.91
2012-12-01,69.125,69.336,-0.212,11,4,450.47
2013-01-01,30.757,30.931,-0.173,18,4,468.1
2013-02-01,47.21,47.634,-0.424,20,3,514.94
2013-03-01,52.666,53.02,-0.354,17,7,480.93
2013-04-01,48.532,49.059,-0.527,15,6,492.78
2013-05-01,38.694,41.928,-3.234,15,5,503.28
2013-06-01,15.114,21.474,-6.361,18,8,507.73
2013-07-01,29.064,32.524,-3.46,13,6,448.21
2013-08-01,31.536,45.153,-13.617,11,10,450.74
2013-09-01,25.319,26.659,-1.34,16,7,467.92
2013-10-01,-1.593,18.443,-20.036,14,8,428.67
2013-11-01,23.323,23.57,-0.246,15,3,409.75
2013-12-01,63.478,66.75,-3.272,19,5,404.1
2014-01-01,-8.155,27.15,-35.305,14,10,365.19
2014-02-01,17.851,25.877,-8.027,11,12,335.83
2014-03-01,8.523,29.367,-20.844,17,10,291.69
2014-04-01,66.421,67.297,-0.876,17,7,309.58
2014-05-01,7.927,29.424,-21.497,19,5,278.81
2014-06-01,35.202,39.036,-3.834,18,4,298.9
2014-07-01,3.802,14.512,-10.71,13,7,273.63
2014-08-01,35.692,41.674,-5.981,13,8,277.79
2014-09-01,79.27,79.436,-0.166,21,4,331.74
2014-10-01,16.307,35.154,-18.848,17,6,349.64
2014-11-01,40.075,43.482,-3.407,14,6,366.39
2014-12-01,15.85,26.965,-11.115,10,12,318.76
2015-01-01,-4.772,21.373,-26.145,12,8,322.15
2015-02-01,5.751,14.546,-8.795,11,11,310.05
2015-03-01,-1.635,42.335,-43.97,16,11,299.89
2015-04-01,-11.815,23.891,-35.705,14,10,221.65
2015-05-01,12.523,15.484,-2.961,13,8,226.25
2015-06-01,631.137,640.915,-9.778,18,7,822.18
2015-07-01,69.286,76.358,-7.072,20,4,887.67
2015-08-01,46.858,49.74,-2.881,17,11,898.83
2015-09-01,41.409,59.28,-17.87,16,9,860.97
2015-10-01,17.602,38.208,-20.605,12,10,862.27
2015-11-01,79.858,80.397,-0.54,21,5,902.05
2015-12-01,27.24,52.617,-25.377,17,7,913.44
2016-01-01,34.496,41.569,-7.073,13,10,952.71
2016-02-01,-45.421,31.805,-77.226,11,13,901.54
2016-03-01,20.039,36.699,-16.66,22,6,923.21
2016-04-01,-2.894,38.713,-41.607,12,12,932.13
2016-05-01,-13.947,20.301,-34.248,13,10,905.66
2016-06-01,52.306,60.26,-7.953,19,9,326.83
2016-07-01,-0.713,22.706,-23.419,16,9,256.83
2016-08-01,17.282,32.027,-14.745,14,9,227.26
2016-09-01,24.099,39.651,-15.552,20,10,209.95
2016-10-01,30.004,60.287,-30.283,19,9,222.35
2016-11-01,2.857,41.962,-39.104,17,12,145.35
2016-12-01,-13.845,17.115,-30.96,21,9,104.26
2017-01-01,72.356,84.934,-12.578,14,10,142.12
2017-02-01,-4.464,25.404,-29.867,15,8,183.08
2017-03-01,43.288,48.459,-5.171,18,6,206.33
2017-04-01,24.091,29.541,-5.45,16,9,233.31
2017-05-01,40.375,47.272,-6.897,17,7,287.64
2017-06-01,47.063,56.192,-9.128,14,9,282.39
2017-07-01,44.478,48.948,-4.47,16,7,327.58
2017-08-01,12.363,38.126,-25.763,12,10,322.66
2017-09-01,62.833,65.562,-2.729,14,6,361.4
2017-10-01,83.69,86.68,-2.99,18,9,415.08
2017-11-01,58.309,71.479,-13.17,20,6,470.54
2017-12-01,38.53,62.748,-24.218,21,5,522.91
2018-01-01,35.102,74.985,-39.883,24,9,485.66
2018-02-01,35.663,39.998,-4.336,14,11,525.78
2018-03-01,15.392,29.495,-14.103,17,7,497.89
2018-04-01,53.052,58.163,-5.111,21,7,526.85
2018-05-01,27.148,36.644,-9.496,13,4,513.62
2018-06-01,19.029,42.88,-23.85,21,6,485.59
2018-07-01,54.495,55.223,-0.728,20,6,495.61
2018-08-01,-29.132,62.839,-91.971,17,6,454.11
2018-09-01,76.253,90.943,-14.69,20,8,467.53
2018-10-01,107.992,109.889,-1.897,23,4,491.83
2018-11-01,82.894,83.296,-0.402,20,4,516.42
2018-12-01,-5.415,39.282,-44.697,15,11,472.47
2019-01-01,70.458,91.19,-20.732,25,8,507.83
2019-02-01,46.248,85.494,-39.245,17,9,518.41
2019-03-01,69.679,79.821,-10.142,22,6,572.7
2019-04-01,60.023,64.064,-4.041,22,6,579.67
2019-05-01,45.994,52.346,-6.352,19,4,598.52
2019-06-01,141.696,181.644,-39.948,18,9,721.18
2019-07-01,26.56,51.299,-24.74,20,6,693.25
2019-08-01,36.334,44.301,-7.967,15,8,758.72
2019-09-01,79.075,81.32,-2.245,21,3,761.54
2019-10-01,70.815,72.633,-1.818,17,7,724.36
2019-11-01,51.976,57.792,-5.816,20,6,693.44
2019-12-01,8.056,31.245,-23.189,19,8,706.91
2020-01-01,13.868,36.716,-22.848,14,7,650.32
2020-02-01,62.56,79.278,-16.718,17,7,666.64
2020-03-01,68.015,94.859,-26.844,16,9,664.97
2020-04-01,55.972,64.183,-8.21,11,10,660.92
2020-05-01,44.848,54.088,-9.24,14,8,659.78
2020-06-01,27.512,44.476,-16.964,17,9,545.59
2020-07-01,3.087,33.492,-30.406,12,10,522.12
2020-08-01,-45.165,25.966,-71.131,12,15,440.62
2020-09-01,13.685,36.587,-22.902,23,5,375.23
2020-10-01,14.71,28.86,-14.15,15,9,319.12
2020-11-01,-12.483,30.015,-42.498,16,5,254.67
2020-12-01,48.704,54.679,-5.975,15,5,295.31
2021-01-01,-25.844,11.932,-37.776,9,10,255.6
2021-02-01,17.2,39.424,-22.224,14,6,210.24
2021-03-01,173.587,181.786,-8.199,18,6,315.81
2021-04-01,62.979,72.261,-9.282,20,9,322.82
2021-05-01,75.909,100.549,-24.64,18,11,353.88
2021-06-01,24.208,76.602,-52.394,19,7,350.58
2021-07-01,32.597,38.309,-5.712,16,11,380.09
2021-08-01,22.043,33.182,-11.139,15,7,447.29
2021-09-01,8.814,46.743,-37.929,16,9,442.42
2021-10-01,8.043,23.844,-15.801,16,10,435.76
2021-11-01,-35.721,14.976,-50.697,15,13,412.52
2021-12-01,-13.481,31.393,-44.874,17,12,350.33
2022-01-01,4.014,33.348,-29.333,11,13,380.19
2022-02-01,40.757,78.239,-37.483,10,11,403.75
2022-03-01,4.695,24.433,-19.738,21,8,234.86
2022-04-01,40.837,43.786,-2.949,17,7,212.72
2022-05-01,50.048,59.114,-9.067,16,5,186.85
2022-06-01,72.964,73.58,-0.616,21,5,235.61
2022-07-01,50.474,63.658,-13.185,17,8,253.49
2022-08-01,31.614,33.637,-2.023,19,6,263.06
2022-09-01,77.395,77.784,-0.389,19,2,331.64
2022-10-01,36.517,38.101,-1.584,17,6,360.11
2022-11-01,82.795,90.397,-7.602,14,7,478.63
2022-12-01,50.705,86.946,-36.241,15,8,542.81
2023-01-01,84.366,118.888,-34.521,15,10,623.17
2023-02-01,78.832,92.799,-13.968,17,7,661.24
2023-03-01,-17.096,42.658,-59.754,15,14,639.45
2023-04-01,-155.378,33.429,-188.808,14,11,443.24
2023-05-01,-100.398,51.766,-152.164,19,10,292.79
2023-06-01,101.397,106.079,-4.682,23,9,321.22
2023-07-01,38.278,72.468,-34.19,14,10,309.03
2023-08-01,97.02,99.958,-2.938,25,4,374.43
2023-09-01,88.486,90.418,-1.932,26,4,385.52
2023-10-01,55.746,76.654,-20.908,18,11,404.75
2023-11-01,64.002,79.732,-15.73,20,5,385.96
2023-12-01,38.854,64.275,-25.42,20,7,374.11
2024-01-01,57.743,63.915,-6.172,18,9,347.49
2024-02-01,39.578,59.685,-20.107,23,7,308.23
2024-03-01,16.248,58.577,-42.329,21,13,341.58
2024-04-01,12.815,48.074,-35.259,18,12,509.77
2024-05-01,25.126,42.108,-16.982,17,10,635.29
2024-06-01,9.567,46.782,-37.215,19,8,543.46
2024-07-01,1.742,49.4,-47.658,16,10,506.93
2024-08-01,8.158,24.308,-16.15,18,8,418.07
2024-09-01,56.481,65.138,-8.658,18,8,386.06
2024-10-01,71.165,72.11,-0.945,22,6,401.48
2024-11-01,70.004,76.88,-6.876,22,5,407.48
2024-12-01,29.032,55.188,-26.156,19,10,397.66
