Date,Open,High,Low,Close
1979-12-26,107.8,108.4,107.1,107.8
1979-12-27,108.0,108.5,107.1,108.0
1979-12-28,107.8,108.6,107.2,107.8
1979-12-31,107.9,108.5,107.3,107.9
1980-01-01,107.9,107.9,107.9,107.9
1980-01-02,105.8,108.4,105.3,105.8
1980-01-03,105.2,106.1,103.3,105.2
1980-01-04,106.5,107.1,105.1,106.5
1980-01-07,106.8,107.8,105.8,106.8
1980-01-08,108.9,109.3,106.3,108.9
1980-01-09,109.1,111.1,108.4,109.1
1980-01-10,109.9,110.9,108.5,109.9
1980-01-11,109.9,111.2,108.9,109.9
1980-01-14,110.4,111.4,109.3,110.4
1980-01-15,111.1,111.9,109.4,111.1
1980-01-16,111.1,112.9,110.4,111.1
1980-01-17,110.7,112.0,109.8,110.7
1980-01-18,111.1,111.7,109.7,111.1
1980-01-21,112.1,112.9,110.7,112.1
1980-01-22,111.5,113.1,110.9,111.5
1980-01-23,113.4,113.9,110.9,113.4
1980-01-24,113.7,115.3,112.9,113.7
1980-01-25,113.6,114.4,112.4,113.6
1980-01-28,114.8,115.7,112.9,114.8
1980-01-29,114.1,115.8,113.0,114.1
1980-01-30,115.2,115.8,113.4,115.2
1980-01-31,114.2,117.2,113.8,114.2
1980-02-01,115.1,115.5,113.1,115.1
1980-02-04,114.4,116.0,113.8,114.4
1980-02-05,114.7,115.2,112.2,114.7
1980-02-06,115.7,116.6,113.7,115.7
1980-02-07,116.3,117.9,115.2,116.3
1980-02-08,117.9,118.7,115.7,117.9
1980-02-11,117.1,119.1,116.3,117.1
1980-02-12,117.9,118.4,115.8,117.9
1980-02-13,118.4,120.2,117.6,118.4
1980-02-14,116.7,119.3,116.0,116.7
1980-02-15,115.4,116.7,114.1,115.4
1980-02-18,115.4,115.4,115.4,115.4
1980-02-19,114.6,115.7,113.3,114.6
1980-02-20,116.5,117.2,114.1,116.5
1980-02-21,115.3,117.9,114.4,115.3
1980-02-22,115.0,116.5,113.4,115.0
1980-02-25,113.3,114.9,112.6,113.3
1980-02-26,114.0,114.8,112.3,114.0
1980-02-27,112.4,115.1,111.9,112.4
1980-02-28,112.3,113.7,111.3,112.3
1980-02-29,113.7,114.1,111.8,113.7
1980-03-03,112.5,114.3,112.0,112.5
1980-03-04,112.8,113.4,110.8,112.8
1980-03-05,111.1,113.9,110.6,111.1
1980-03-06,108.7,111.3,107.8,108.7
1980-03-07,106.9,109.0,106.0,106.9
1980-03-10,106.5,107.9,104.9,106.5
1980-03-11,107.8,108.5,106.2,107.8
1980-03-12,106.9,108.4,105.4,106.9
1980-03-13,105.6,107.6,105.1,105.6
1980-03-14,105.4,106.5,104.0,105.4
1980-03-17,102.3,105.2,101.8,102.3
1980-03-18,104.1,104.7,101.1,104.1
1980-03-19,104.3,105.7,103.3,104.3
1980-03-20,103.1,105.2,102.5,103.1
1980-03-21,102.3,103.7,101.6,102.3
1980-03-24,99.3,102.2,98.9,99.3
1980-03-25,99.2,100.6,97.9,99.2
1980-03-26,98.7,101.2,98.1,98.7
1980-03-27,98.2,99.6,94.2,98.2
1980-03-28,100.7,101.4,97.7,100.7
1980-03-31,102.1,102.7,100.0,102.1
1980-04-01,102.2,103.3,100.8,102.2
1980-04-02,102.7,103.9,101.4,102.7
1980-04-03,102.2,103.3,101.3,102.2
