Date,Net_Purchase_Tonnes
2002-01-01,-50.7
2002-02-01,-35.3
2002-03-01,-39.8
2002-04-01,-65.1
2002-05-01,-85.7
2002-06-01,-30.0
2002-07-01,-31.8
2002-08-01,-25.699999999999996
2002-09-01,-19.2
2002-10-01,-21.0
2002-11-01,-28.400000000000002
2002-12-01,58.29999999999998
2003-01-01,-61.1
2003-02-01,-68.6
2003-03-01,-1.799999999999998
2003-04-01,-61.5
2003-05-01,-21.700000000000003
2003-06-01,-52.70000000000001
2003-07-01,-37.8
2003-08-01,-54.5
2003-09-01,-64.1
2003-10-01,-10.299999999999999
2003-11-01,-71.0
2003-12-01,-48.800000000000004
2004-01-01,-39.800000000000004
2004-02-01,-21.299999999999997
2004-03-01,-43.9
2004-04-01,-16.7
2004-05-01,-30.49999999999999
2004-06-01,8.899999999999997
2004-07-01,-33.400000000000006
2004-08-01,-40.00000000000001
2004-09-01,-6.3
2004-10-01,-60.0
2004-11-01,-58.099999999999994
2004-12-01,-69.2
2005-01-01,-56.300000000000004
2005-02-01,-69.10000000000001
2005-03-01,-64.0
2005-04-01,-16.3
2005-05-01,-29.3
2005-06-01,-71.9
2005-07-01,-31.400000000000002
2005-08-01,-29.6
2005-09-01,-6.499999999999999
2005-10-01,-65.0
2005-11-01,-47.0
2005-12-01,-47.3
2006-01-01,-19.1
2006-02-01,-22.3
2006-03-01,-29.9
2006-04-01,-25.5
2006-05-01,-17.5
2006-06-01,-2.700000000000001
2006-07-01,-28.5
2006-08-01,-21.0
2006-09-01,-61.3
2006-10-01,-10.0
2006-11-01,-36.39999999999999
2006-12-01,2.7
2007-01-01,-14.399999999999999
2007-02-01,-20.0
2007-03-01,-41.19999999999999
2007-04-01,-48.5
2007-05-01,-31.7
2007-06-01,-21.200000000000003
2007-07-01,-75.19999999999999
2007-08-01,-31.2
2007-09-01,-55.1
2007-10-01,-34.3
2007-11-01,-8.0
2007-12-01,-11.9
2008-01-01,-29.7
2008-02-01,159.7
2008-03-01,4.700000000000001
2008-04-01,-31.500000000000004
2008-05-01,-12.5
2008-06-01,-24.1
2008-07-01,-9.500000000000002
2008-08-01,-2.900000000000002
2008-09-01,-13.7
2008-10-01,9.2
2008-11-01,-7.2
2008-12-01,-5.0
2009-01-01,-2.200000000000002
2009-02-01,-30.099999999999998
2009-03-01,-4.4
2009-04-01,460.59999999999997
2009-05-01,0.10000000000000009
2009-06-01,6.1
2009-07-01,18.9
2009-08-01,7.699999999999999
2009-09-01,3.5999999999999996
2009-10-01,22.8
2009-11-01,210.5
2009-12-01,45.099999999999994
2010-01-01,3.0999999999999996
2010-02-01,7.6
2010-03-01,30.399999999999995
2010-04-01,1.9
2010-05-01,21.300000000000004
2010-06-01,5.700000000000001
2010-07-01,42.8
2010-08-01,-0.4999999999999991
2010-09-01,28.800000000000004
2010-10-01,5.099999999999998
2010-11-01,12.5
2010-12-01,7.1
2011-01-01,8.700000000000001
2011-02-01,6.400000000000002
2011-03-01,106.79999999999998
2011-04-01,21.900000000000002
2011-05-01,10.2
2011-06-01,34.0
2011-07-01,8.6
2011-08-01,5.799999999999997
2011-09-01,55.8
2011-10-01,29.2
2011-11-01,59.7
2011-12-01,33.3
2012-01-01,13.299999999999999
2012-02-01,0.10000000000000053
2012-03-01,86.60000000000001
2012-04-01,36.6
2012-05-01,28.0
2012-06-01,11.4
2012-07-01,88.60000000000001
2012-08-01,28.9
2012-09-01,7.6999999999999975
2012-10-01,41.6
2012-11-01,42.2
2012-12-01,69.1
2013-01-01,30.799999999999997
2013-02-01,47.1
2013-03-01,52.5
2013-04-01,48.4
2013-05-01,38.8
2013-06-01,15.899999999999999
2013-07-01,28.8
2013-08-01,31.3
2013-09-01,25.2
2013-10-01,1.5999999999999996
2013-11-01,23.3
2013-12-01,63.3
2014-01-01,-15.999999999999996
2014-02-01,17.900000000000002
2014-03-01,8.900000000000002
2014-04-01,66.39999999999999
2014-05-01,9.9
2014-06-01,35.0
2014-07-01,3.6000000000000005
2014-08-01,35.6
2014-09-01,78.8
2014-10-01,16.199999999999996
2014-11-01,40.00000000000001
2014-12-01,15.799999999999999
2015-01-01,-12.299999999999999
2015-02-01,5.699999999999999
2015-03-01,-1.0999999999999992
2015-04-01,-12.1
2015-05-01,12.4
2015-06-01,633.4
2015-07-01,69.1
2015-08-01,46.900000000000006
2015-09-01,41.099999999999994
2015-10-01,17.699999999999996
2015-11-01,79.9
2015-12-01,27.200000000000003
2016-01-01,34.5
2016-02-01,-45.400000000000006
2016-03-01,19.9
2016-04-01,-3.2000000000000024
2016-05-01,-13.2
2016-06-01,54.00000000000001
2016-07-01,-0.8000000000000007
2016-08-01,17.400000000000006
2016-09-01,24.200000000000003
2016-10-01,29.6
2016-11-01,2.7
2016-12-01,-14.0
2017-01-01,72.5
2017-02-01,-4.699999999999996
2017-03-01,43.2
2017-04-01,24.6
2017-05-01,41.900000000000006
2017-06-01,48.300000000000004
2017-07-01,44.4
2017-08-01,12.8
2017-09-01,62.900000000000006
2017-10-01,83.60000000000001
2017-11-01,58.29999999999999
2017-12-01,38.599999999999994
2018-01-01,35.0
2018-02-01,35.6
2018-03-01,16.8
2018-04-01,54.0
2018-05-01,26.999999999999993
2018-06-01,20.099999999999998
2018-07-01,54.5
2018-08-01,-28.8
2018-09-01,76.39999999999999
2018-10-01,107.89999999999999
2018-11-01,82.69999999999999
2018-12-01,-5.3000000000000025
2019-01-01,70.1
2019-02-01,46.1
2019-03-01,69.6
2019-04-01,61.5
2019-05-01,46.099999999999994
2019-06-01,142.9
